Date,Forecasted Milk Production,Confidence Interval Lower,Confidence Interval Upper
2025-01-31,2559.4509345943807,1520.1324340735212,3598.7694351152404
2025-02-28,3863.4452634089157,2733.154955623623,4993.735571194208
2025-03-31,4420.5463946916625,3216.8179282042374,5624.274861179088
2025-04-30,4521.348586560019,3248.9019043338585,5793.795268786179
2025-05-31,4036.559094529369,2698.9395086179834,5374.178680440755
2025-06-30,3597.411554344639,2197.647162314182,4997.175946375097
2025-07-31,2974.9667184348395,1515.6961088129622,4434.237328056717
2025-08-31,3295.665983699635,1779.214377456665,4812.117589942605
2025-09-30,3044.3574287333918,1472.8256956652965,4615.889161801487
2025-10-31,3054.3328835888187,1429.4512819903548,4679.214485187283
2025-11-30,3001.5727601387475,1324.3687145569822,4678.776805720513
2025-12-31,2675.7654874623972,949.0146877277689,4402.516287197026
2026-01-31,2571.760052685563,735.4211600593335,4408.098945311793
2026-02-28,3822.0479649175604,1918.0933897791829,5726.002540055938
2026-03-31,4420.2803510255035,2452.7435274814397,6387.817174569567
2026-04-30,4487.332446321635,2458.282662862478,6516.382229780792
2026-05-31,4020.290950054999,1931.5359207347792,6109.045979375219
2026-06-30,3597.3649228249287,1450.5583879057708,5744.171457744087
2026-07-31,2977.6727970857755,774.3369887735576,5181.008605397994
2026-08-31,3252.211298815355,993.7528839361689,5510.66971369454
2026-09-30,2992.611763084189,680.3855293196111,5304.837996848767
2026-10-31,3057.2750464716546,692.2614200553712,5422.288672887938
2026-11-30,3015.6903556388697,597.1024843423725,5434.278226935367
2026-12-31,2701.111439625588,233.55043230007368,5168.672446951103
2027-01-31,2576.576235792208,30.925633740561807,5122.226837843855
2027-02-28,3821.722867620518,1217.6689725111373,6425.776762729899
2027-03-31,4423.8927220584665,1763.6425735157409,7084.142870601192
2027-04-30,4487.713942513737,1772.467084532148,7202.960800495325
2027-05-31,4022.3714503630426,1253.2130316983776,6791.529869027708
2027-06-30,3600.998298040271,778.9507577804243,6423.045838300118
2027-07-31,2981.5696874592295,107.59899322838646,5855.5403816900725
2027-08-31,3251.6892492541715,326.70970451218545,6176.668793996158
2027-09-30,2991.2960233152717,16.234430093395986,5966.357616537147
2027-10-31,3061.1945370354083,36.5767498810892,6085.812324189727
2027-11-30,3020.679663114159,-55.4376877413024,6096.797013969621
2027-12-31,2707.1756303969682,-414.71562378448925,5829.066884578426
2028-01-31,2580.6751250957373,-611.047063714761,5772.3973139062355
2028-02-29,3825.329585487721,579.5772884618736,7071.081882513568
2028-03-31,4427.876371213463,1129.7531818769908,7725.999560549935
2028-04-30,4491.388302117073,1141.739871767771,7841.036732466375
2028-05-31,4026.2084545277353,625.8067987045379,7426.610110350933
2028-06-30,3604.983957912015,154.56747612347817,7055.400439700552
2028-07-31,2985.5805734660366,-514.1435528349894,6485.304699767063
2028-08-31,3255.2771130089523,-293.07650018017193,6803.630726198076
2028-09-30,2994.8079076215754,-601.4575643111748,6591.073379554326
2028-10-31,3065.2075865437655,-578.6856730800187,6709.10084616755
2028-11-30,3024.795125501141,-669.4060336607145,6718.996284662996
2028-12-31,2711.3939906642795,-1026.5668788741673,6449.354860202726
2029-01-31,2584.705348329023,-1218.918937763729,6388.329634421774
2029-02-28,3829.312693468829,-25.864854680805365,7684.490241618463
2029-03-31,4431.895562582121,526.55010383742,8337.241021326821
2029-04-30,4495.377885397681,540.5226149466976,8450.233155848664
2029-05-31,4030.2136076666443,26.450867598389777,8033.976347734899
2029-06-30,3609.0033417652817,-443.08526743251105,7661.091950963075
2029-07-31,2989.6023722008413,-1110.250307024603,7089.4550514262855
2029-08-31,3259.2584160981137,-887.8150061368583,7406.331838333086
2029-09-30,2998.781937247445,-1194.9146313421325,7192.478505837023
2029-10-31,3069.229592389169,-1170.9554492825964,7309.414634060934
2029-11-30,3028.826935264948,-1261.049433895098,7318.703304424995
2029-12-31,2715.4356507753896,-1616.9459763768823,7047.817277927661
2030-01-31,2588.7289982039674,-1806.6794793497666,6984.137475757701
2030-02-28,3833.331833031261,-612.0605573720281,8278.72422343455
2030-03-31,4435.918156383825,-58.242886492554135,8930.079199260203
2030-04-30,4499.397644836332,-42.990335754233456,9041.785625426897
2030-05-31,4034.2348575977257,-555.8841425952924,8624.353857790744
2030-06-30,3613.0259539934127,-1024.3419347411768,8250.393842728003
2030-07-31,2993.6252156040146,-1690.5230098922339,7677.773441100263
2030-08-31,3263.2773828794116,-1467.1952237341657,7993.749989492989
2030-09-30,3002.800207744823,-1773.4769970926695,7779.077412582315
2030-10-31,3073.252455618906,-1748.7975813058652,7895.302492543677
2030-11-30,3032.850737017431,-1838.5720751486851,7904.273549183547
2030-12-31,2719.4603954952267,-2193.63774399393,7632.558534984384
2031-01-31,2592.752018815586,-2381.5421283676824,7567.046165998854
2031-02-28,3837.35442187359,-1185.8530390547626,8860.561882801943
2031-03-31,4439.941075898238,-631.0818045448505,9510.963956341326
2031-04-30,4503.4202930190095,-614.9559324914071,9621.796518529427
2031-05-31,4038.2576484642764,-1127.0493188543483,9203.564615782901
2031-06-30,3617.0488752717756,-1594.775762684877,8828.873513228427
2031-07-31,2997.648159012614,-2260.2908380502477,8255.587156075475
2031-08-31,3267.299955181515,-2036.3590170708635,8570.958927433894
2031-09-30,3006.8227133921187,-2342.0912208873465,8355.736647671583
2031-10-31,3077.2754009254895,-2316.937816313861,8471.48861816484
2031-11-30,3036.873772168188,-2406.55366839989,8480.301212736267
2031-12-31,2723.4835209156367,-2761.0407383894085,8208.007780220682
2032-01-31,2596.7749791882347,-2947.602085048216,8141.152043424685
2032-02-29,3841.377340913245,-1751.1438704427633,9433.898552269253
2032-03-31,4443.9640265929165,-1195.689811910982,10083.617865096814
2032-04-30,4507.443217739277,-1178.9393546213723,10193.825790099927
2032-05-31,4042.280586843579,-1690.4619343760496,9775.023108063207
2032-06-30,3621.0718261353163,-2157.6685607397117,9399.812213010344
2032-07-31,3001.671111994668,-2822.71227506115,8826.054499050486
2032-08-31,3271.322872637785,-2598.3551009408397,9141.00084621641
2032-09-30,3010.845624467567,-2903.7027426083196,8925.393991543453
2032-10-31,3081.2983540892365,-2878.223761002556,9040.820469181028
2032-11-30,3040.8967339326596,-2967.771542868793,9049.565010734112
2032-12-31,2727.5064913215633,-3321.8390621663425,8776.85204480947
2033-01-31,2600.797933794246,-3507.3758631612673,8708.97173074976
2033-02-28,3845.4002915624756,-2310.343502468633,10001.144085593583
2033-03-31,4447.986980272461,-1754.381771248687,10650.355731793608
